actual,prediction
14955.64,15145.139
15149.85,15245.541
15560.74,15417.778
15500.0,15601.553
14984.99,15728.014
15203.03,15790.972
15080.0,15831.193
14995.0,15860.389
15199.74,15895.337
15257.489,15954.211
15910.42,16014.564
15763.03,16131.116
16097.53,16261.79
15748.0,16390.908
15698.4795,16482.613
15889.91,16535.629
15769.35,16584.51
15861.031,16650.398
15664.989,16740.963
15764.44,16806.908
15675.0,16407.838
15899.06,16076.515
15747.98,15736.64
15817.53,15463.894
16300.0,15496.239
16320.0,15512.733
16300.0,15619.464
16160.0,15737.273
15980.0,15803.459
15800.0,15833.496
15600.24,15822.594
15655.55,15817.974
15860.009,15824.397
15801.95,15868.376
15277.0,15937.28
15296.0,15978.254
14700.261,15981.054
14931.32,15950.247
15029.99,15935.821
14825.01,15968.378
14723.52,16041.427
15116.62,16133.375
15299.98,16223.245
15364.93,16347.233
15146.56,15982.745
15413.43,15689.252
14249.98,15354.67
14387.32,14896.584
14407.259,14761.968
13750.001,14749.996
